id;curso;Area_the;setor;turno;grau;forma_evasao;ira;contagem_disciplinas;contagem_reprovacoes;evasao;proprep;
46236;Design de Produto;AH;Setor de Artes, Comunicação e Design;M;Bacharelado;Formatura;0,897;72;0;0;0;0,328324358
16405;Artes Visuais;AH;Setor de Artes, Comunicação e Design;M;Bacharelado;Abandono;0,4192;16;0;1;0;0,328329009
76755;Informática Biomédica;CS;Setor de Ciências Exatas;I;Bacharelado;Sem evasão;0,7988;26;0;0;0;0,328338544
55492;Física;ED;Setor de Ciências Exatas;N;Licenciatura;Formatura;0,8599;64;0;0;0;0,328368406
43208;Pedagogia;ED;Setor de Educação;M;Licenciatura;Abandono;0;8;0;1;0;0,328372627
7862;Análise e Desenvolvimento de Sistemas;CS;Setor de Educação Profissional e Tecnológica;T;Tecnológico;Formatura;0,7778;49;3;0;0,06122449;0,328374921
22287;Pedagogia;ED;Setor de Educação;N;Licenciatura;Abandono;0,3813;20;3;1;0,15;0,328380251
7097;Psicologia;PS;Setor de Ciências Humanas;I;Bacharelado;Formatura;0,8731;91;2;0;0,021978022;0,328395015
24815;Ciências Contábeis;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Abandono;0,557;6;3;1;0,5;0,328404464
37063;Terapia Ocupacional;PS;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,8494;65;0;0;0;0,328420531
76062;Ciências Econômicas;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Sem evasão;0,7588;25;2;0;0,08;0,328421011
20787;Engenharia Mecânica;ET;Setor de Tecnologia;N;Bacharelado;Abandono;0,2756;3;3;1;1;0,328428825
78133;Matemática;ED;Setor de Ciências Exatas;N;Licenciatura;Sem evasão;0,9291;28;0;0;0;0,3284564
44824;Administração Pública;BE;Setor Litoral;N;Bacharelado;Abandono;0,5925;90;15;1;0,166666667;0,328468142
76273;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Sem evasão;0,8317;29;0;0;0;0,32847266
10284;Agronomia;LS;Setor de Ciências Agrárias;I;Bacharelado;Abandono;0,6522;17;0;1;0;0,328507569
52085;Direito;LW;Setor de Ciências Jurídicas;N;Bacharelado;Sem evasão;0,259;88;22;0;0,25;0,328538118
78418;Medicina Veterinária;LS;Setor de Ciências Agrárias;I;Bacharelado;Sem evasão;0,8086;27;0;0;0;0,32855745
36786;História;AH;Setor de Ciências Humanas;T;ABI;Formatura;0,8439;49;0;0;0;0,328595835
